sourceid rave_met rave_metcorr rave_meterr rave_teff rave_tefferr rave_logg rave_loggerr lamost_met lamost_meterr lamost_teff lamost_tefferr lamost_logg lamost_loggerr tgas_parallax tgas_parallaxerr
2077409641658101376 nan nan nan nan nan nan nan -0.201 0.194 5661.78 167.76 4.435 4.435 3.95216644203 0.457065384438
2103117666624517888 nan nan nan nan nan nan nan 0.236 0.124 6365.41 144.02 4.189 4.189 2.00196188805 0.325331011553
2106981831520836736 nan nan nan nan nan nan nan nan nan nan nan nan nan 1.4587955603 0.482204977299
665757589153260032 nan nan nan nan nan nan nan 0.033 0.124 6130.84 127.61 4.199 4.199 3.27623227984 0.678035616408
2075998899520224896 nan nan nan nan nan nan nan nan nan nan nan nan nan 2.22392488505 0.295323616331
2099541711213566080 nan nan nan nan nan nan nan nan nan nan nan nan nan 4.45539373514 0.280192966775
2099541711213566080 nan nan nan nan nan nan nan nan nan nan nan nan nan 4.45539373514 0.280192966775
2986593264045851520 nan nan nan nan nan nan nan nan nan nan nan nan nan 9.45743734785 0.295898675606
2986593264045851520 nan nan nan nan nan nan nan nan nan nan nan nan nan 9.45743734785 0.295898675606
2132709613336959744 nan nan nan nan nan nan nan nan nan nan nan nan nan 2.08372127282 0.393586223297
2103452261757075584 nan nan nan nan nan nan nan 0.169 0.127 6255.54 142.82 4.281 4.281 3.92255703976 0.585359841213
4780294683438958976 nan nan nan nan nan nan nan nan nan nan nan nan nan 66.1580641737 0.632420037735
4780294683438958976 nan nan nan nan nan nan nan nan nan nan nan nan nan 66.1580641737 0.632420037735
4780294683438958976 nan nan nan nan nan nan nan nan nan nan nan nan nan 66.1580641737 0.632420037735
3478160723569849216 nan nan nan nan nan nan nan nan nan nan nan nan nan 109.572192929 0.381747073603
4017861056947245696 nan nan nan nan nan nan nan nan nan nan nan nan nan 102.575420805 0.310209010917
6322069882641960448 nan nan nan nan nan nan nan nan nan nan nan nan nan 158.642894838 0.354875159844
6322069882641960448 nan nan nan nan nan nan nan nan nan nan nan nan nan 158.642894838 0.354875159844
4572835737133711744 nan nan nan nan nan nan nan nan nan nan nan nan nan 96.3751635087 0.353931476447
5925209510013598336 nan nan nan nan nan nan nan nan nan nan nan nan nan 63.0705891561 0.605551404086
5925209510013598336 nan nan nan nan nan nan nan nan nan nan nan nan nan 63.0705891561 0.605551404086
1637645328881199360 nan nan nan nan nan nan nan nan nan nan nan nan nan 220.024758106 0.393103227161
6562924982812531840 nan nan nan nan nan nan nan nan nan nan nan nan nan 201.118290813 0.511674656022
2627117283194034944 -2.97 -2.94046 0.39 3206.4 333.0 5.48 0.85 nan nan nan nan nan nan 113.245823713 0.324863480168
2603089827390642560 nan nan nan nan nan nan nan nan nan nan nan nan nan 214.051332732 0.970971083054
2603089827390642560 nan nan nan nan nan nan nan nan nan nan nan nan nan 214.051332732 0.970971083054
4634527238626602880 nan nan nan nan nan nan nan nan nan nan nan nan nan 56.9656841625 0.267788945785
961428188691467520 nan nan nan nan nan nan nan nan nan nan nan nan nan 29.4554856559 0.297962244877
4794830227157099648 nan nan nan nan nan nan nan nan nan nan nan nan nan 27.2545106495 0.558155199342
2896745743669877376 nan nan nan nan nan nan nan nan nan nan nan nan nan 16.3399166183 0.217910205241
3001428562122116224 nan nan nan nan nan nan nan nan nan nan nan nan nan 18.9273358489 0.245281806672
3327980251397586048 nan nan nan nan nan nan nan nan nan nan nan nan nan 28.7769146068 0.311146379806
2919760961580909824 nan nan nan nan nan nan nan nan nan nan nan nan nan 26.7220695685 0.244244572074
5583831731070324736 nan nan nan nan nan nan nan nan nan nan nan nan nan 7.95433946776 0.57033856051
5551551993824761472 nan nan nan nan nan nan nan nan nan nan nan nan nan 11.1399649629 0.212666178287
5579783569778334464 nan nan nan nan nan nan nan nan nan nan nan nan nan 21.7293067005 0.440596745224
3380479079767139840 nan nan nan nan nan nan nan nan nan nan nan nan nan 32.587146995 0.305188315105
5488567569738660608 nan nan nan nan nan nan nan nan nan nan nan nan nan 30.8947104414 0.214425771146
5287961673251752320 nan nan nan nan nan nan nan nan nan nan nan nan nan 28.3165695429 0.232158980558
3083043386107236480 nan nan nan nan nan nan nan nan nan nan nan nan nan 18.7163301528 0.248624714919
877846132246470656 nan nan nan nan nan nan nan nan nan nan nan nan nan 13.0007665747 0.274305145408
1090159834705367552 nan nan nan nan nan nan nan nan nan nan nan nan nan 16.6790091982 0.241441971841
5077642278726840832 nan nan nan nan nan nan nan nan nan nan nan nan nan 42.9684738075 0.307336974207
60684348839821696 nan nan nan nan nan nan nan nan nan nan nan nan nan 19.6975213945 0.309051734592
60684348839821696 nan nan nan nan nan nan nan nan nan nan nan nan nan 19.6975213945 0.309051734592
772430901610348032 nan nan nan nan nan nan nan nan nan nan nan nan nan 90.9379778818 0.416877260626
4021079911593673600 nan nan nan nan nan nan nan nan nan nan nan nan nan 38.2787816449 0.252334934873
